# Cosmological parameters
# z 0.0
# name demnunii
# H0 67.0
# Omega_k 0.0
# Omega_b 0.04999999999999999
# Omega_c 0.26999999999999996
# Omega_m 0.31999999999999995
# Omega_de 0.6799068075447904
# Omega_nu 0.0
# N_eff 3.046
# mass_neutrinos 0.0
# n_s 0.96
# A_s 2.21265e-09
# H_z 67.0
# D_A 0.0
# D_M 0.0
# D_H 4474.514298507463
# D_V 0.0
# r_drag 146.71804187203688
# DM_rd 0.0
# DH_rd 30.497369249311554
# DV_rd 0.0
# sigma8 0.8464806009326422
# fsigma8 0.4501495921255273
# f 0.5317896141146742
# 
# k[h/Mpc]  P_lin(k)[Mpc^3/h^3]
1.05e-05    2.9522049294920917e-22
1.0547190142342788e-05    2.9516754423361405e-22
1.0594592371307894e-05    51.972260706945924
1.0642207640076068e-05    52.196475097717936
1.0690036906111946e-05    52.421656771095016
1.0738081131183287e-05    52.64780989755686
1.078634128138033e-05    52.874938665543894
1.083481832713521e-05    53.10304728153238
1.0883513243241471e-05    53.33213997011498
1.0932427008873681e-05    53.562220974075416
1.0981560607607098e-05    53.79329455446932
1.1030915027437473e-05    54.02536499070071
1.10804912608009e-05    54.25843658060247
1.1130290304593776e-05    54.492513640514645
1.1180313160192857e-05    54.72760050536451
1.1230560833475376e-05    54.96370152874546
1.1281034334839285e-05    55.20082108299836
1.1331734679223567e-05    55.43896355929251
1.138266288612864e-05    55.67813336770469
1.1433819979636867e-05    55.91833493730169
1.1485206988433142e-05    56.159572716222605
1.1536824945825576e-05    56.401851171759404
1.1588674889766276e-05    56.64517479043966
1.1640757862872214e-05    56.88954807810999
1.1693074912446202e-05    57.134975560469364
1.1745627090497937e-05    57.381461787340506
1.1798415453765167e-05    57.62901133092375
1.1851441063734933e-05    57.87762878324177
1.1904704986664916e-05    58.127318756193446
1.195820829360488e-05    58.37808588163724
1.2011952060418204e-05    58.62993481148142
1.2065937367803527e-05    58.8828702177678
1.2120165301316462e-05    59.136896792761476
1.217463695139144e-05    59.39201924903697
1.2229353413363625e-05    59.648242319568524
1.2284315787490947e-05    59.905570757815724
1.233952517897623e-05    60.164009337816374
1.23949826979894e-05    60.42356285427128
1.2450689459689831e-05    60.684236122638374
1.250664658424875e-05    60.94603397921957
1.2562855196871763e-05    61.20896128125371
1.2619316427821497e-05    61.47302290700534
1.2676031412440315e-05    61.73822375585818
1.2733001291173145e-05    62.00456874840492
1.2790227209590419e-05    62.27206282654049
1.2847710318411103e-05    62.54071095355469
1.2905451773525839e-05    62.8105181137477
1.2963452736020188e-05    63.081489305798975
1.3021714372197977e-05    63.35362954434971
1.3080237853604754e-05    63.62694386543541
1.313902435705134e-05    63.90143732671763
1.3198075064637494e-05    64.17711500758072
1.3257391163775689e-05    64.45398200922182
1.3316973847214986e-05    64.7320434547435
1.3376824313065011e-05    65.01130448925002
1.343694376482006e-05    65.29177027993926
1.3497333411383288e-05    65.57344601619806
1.3557994467091026e-05    65.85633690969661
1.3618928151737193e-05    66.1404481944844
1.3680135690597831e-05    66.42578512708515
1.3741618314455733e-05    66.71235298659262
1.3803377259625203e-05    67.00015707476796
1.3865413767976911e-05    67.28920271613666
1.3927729086962862e-05    67.5794952580839
1.3990324469641486e-05    67.87104007095553
1.4053201174702838e-05    68.16384254815243
1.4116360466493892e-05    68.45790810623281
1.4179803615043983e-05    68.75324218500701
1.4243531896090336e-05    69.04985024796792
1.4307546591103722e-05    69.34773778981338
1.4371848987314222e-05    69.6469103368264
1.443644037773712e-05    69.94737343957593
1.450132206119889e-05    70.2491326726723
1.456649534236333e-05    70.55219363487014
1.4631961531757775e-05    70.85656194917804
1.4697721945799475e-05    71.16224326295917
1.4763777906822046e-05    71.4692432480405
1.4830130743102072e-05    71.77756760081724
1.48967817888858e-05    72.08722204236014
1.4963732384415987e-05    72.39821231852366
1.5030983875958842e-05    72.71054420005346
1.5098537615831097e-05    73.02422348269423
1.5166394962427191e-05    73.33925598729834
1.5234557280246611e-05    73.65564755993519
1.5303025939921298e-05    73.97340407200262
1.5371802318243227e-05    74.2925314203333
1.5440887798192093e-05    74.61303552730972
1.5510283768963113e-05    74.93492234097171
1.557999162599496e-05    75.25819783513106
1.5650012770997836e-05    75.5828680094811
1.572034861198163e-05    75.90893888955897
1.5791000563284264e-05    76.23641652069146
1.5861970045600116e-05    76.56530696586283
1.5933258486008583e-05    76.89561631354525
1.6004867318002792e-05    77.22735067839074
1.607679798151841e-05    77.56051620134116
1.614905192296261e-05    77.8951190497428
1.6221630595243153e-05    78.23116541745956
1.6294535457797595e-05    78.56866152498512
1.636776797662265e-05    78.9076136195584
1.6441329624303656e-05    79.24802797527747
1.651522188004419e-05    79.58991089321533
1.658944622969581e-05    79.93326870153443
1.6664004165787942e-05    80.27810775560211
1.673889718755788e-05    80.62443443811142
1.6814126800980945e-05    80.97225515919173
1.688969451880075e-05    81.32157635653213
1.696560186055965e-05    81.67240449549534
1.704185035262926e-05    82.0247460692393
1.7118441528241168e-05    82.3786075988334
1.7195376927517776e-05    82.7339956333801
1.727265809750325e-05    83.09091675013505
1.735028659219463e-05    83.44937755465872
1.7428263972573092e-05    83.80938468375172
1.750659180663532e-05    84.17094480780912
1.758527166942506e-05    84.53406462651448
1.766430514306475e-05    84.89875086845913
1.7743693816787385e-05    85.2650102912681
1.782343928696844e-05    85.63284968172445
1.790354315715797e-05    86.00227585589373
1.798400703811288e-05    86.37329565925363
1.8064832547829287e-05    86.74591596681879
1.8146021311575065e-05    87.12014368326653
1.822757496192254e-05    87.49598574307007
1.83094951387813e-05    87.87344911062236
1.8391783489431174e-05    88.25254078036738
1.8474441668555366e-05    88.6332677769277
1.8557471338273718e-05    89.01563715523925
1.864087416817613e-05    89.39965600067774
1.8724651835356154e-05    89.78533142919132
1.8808806024444688e-05    90.17267058743379
1.8893338427643874e-05    90.56168065289486
1.897825074476111e-05    90.95236883403624
1.9063544683243245e-05    91.34474237042231
1.9149221958210897e-05    91.73880853286032
1.9235284292492957e-05    92.13457462454505
1.9321733416661218e-05    92.53204798259029
1.9408571069065186e-05    92.93123597615967
1.9495798995867023e-05    93.33214600626202
1.958341895107668e-05    93.73478550589248
1.967143269658713e-05    94.13916194016653
1.9759842002209846e-05    94.54528280646568
1.9848648645710352e-05    94.95315563456987
1.993785441284398e-05    95.36278798680368
2.0027461097391778e-05    95.77418745817337
2.0117470501196594e-05    96.18736167651087
2.020788443419929e-05    96.60231830261276
2.0298704714475147e-05    97.01906503038788
2.0389933168270413e-05    97.43760958699652
2.0481571630039042e-05    97.85795973299516
2.0573621942479574e-05    98.28012326248336
2.0666085956572177e-05    98.70410800324612
2.0758965531615886e-05    99.12992181690086
2.085226253526598e-05    99.55757259904489
2.0945978843571543e-05    99.98706827940167
2.1040116341013177e-05    100.41841682196859
2.1134676920540916e-05    100.85162622516371
2.1229662483612266e-05    101.28670451945341
2.1325074940230453e-05    101.72365976193721
2.1420916208982846e-05    102.16250004280249
2.15171882170795e-05    102.60323348704735
2.161389290039193e-05    103.04586825462873
2.1711032203492053e-05    103.49041254061453
2.180860807969126e-05    103.93687457533105
2.190662249107971e-05    104.38526262451748
2.2005077408565787e-05    104.8355849894758
2.2103974811915716e-05    105.28785000722364
2.2203316689793405e-05    105.74206605064907
2.230310503980039e-05    106.19824152866268
2.2403341868516042e-05    106.65638488635274
2.2504029191537893e-05    107.1165046051411
2.2605169033522173e-05    107.57860920293844
2.2706763428224523e-05    108.04270723429978
2.2808814418540896e-05    108.50880729058444
2.2911324056548632e-05    108.976918000112
2.3014294403547704e-05    109.44704802832042
2.3117727530102205e-05    109.91920607792729
2.322162551608195e-05    110.3934008890875
2.3325990450704316e-05    110.86964123955529
2.3430824432576248e-05    111.34793594581602
2.3536129569736453e-05    111.82829386651616
2.3641907979697803e-05    112.31072389962375
2.3748161789489904e-05    112.79523498146979
2.3854893135701863e-05    113.2818360869051
2.396210416452527e-05    113.77053622947439
2.406979703179734e-05    114.26134446157647
2.4177973903044245e-05    114.75426987463692
2.428663695352471e-05    115.24932159927178
2.4395788368273708e-05    115.74650880545968
2.450543034214641e-05    116.2458407027102
2.4615565079862328e-05    116.74732654023335
2.4726194796049652e-05    117.25097560711185
2.4837321715289757e-05    117.75679723247382
2.494894807216196e-05    118.26480078566107
